Layer Name                                         | Shape                | Parameter Count
-----------------------------------------------------------------------------------------------
model.0.conv.weight                                | [16, 3, 3, 3]        | 432
model.0.bn.weight                                  | [16]                 | 16
model.0.bn.bias                                    | [16]                 | 16
model.0.bn.running_mean                            | [16]                 | 16
model.0.bn.running_var                             | [16]                 | 16
model.0.bn.num_batches_tracked                     | []                   | 1
model.1.conv.weight                                | [32, 16, 3, 3]       | 4,608
model.1.bn.weight                                  | [32]                 | 32
model.1.bn.bias                                    | [32]                 | 32
model.1.bn.running_mean                            | [32]                 | 32
model.1.bn.running_var                             | [32]                 | 32
model.1.bn.num_batches_tracked                     | []                   | 1
model.2.cv1.conv.weight                            | [32, 32, 1, 1]       | 1,024
model.2.cv1.bn.weight                              | [32]                 | 32
model.2.cv1.bn.bias                                | [32]                 | 32
model.2.cv1.bn.running_mean                        | [32]                 | 32
model.2.cv1.bn.running_var                         | [32]                 | 32
model.2.cv1.bn.num_batches_tracked                 | []                   | 1
model.2.cv2.conv.weight                            | [32, 48, 1, 1]       | 1,536
model.2.cv2.bn.weight                              | [32]                 | 32
model.2.cv2.bn.bias                                | [32]                 | 32
model.2.cv2.bn.running_mean                        | [32]                 | 32
model.2.cv2.bn.running_var                         | [32]                 | 32
model.2.cv2.bn.num_batches_tracked                 | []                   | 1
model.2.m.0.cv1.conv.weight                        | [16, 16, 3, 3]       | 2,304
model.2.m.0.cv1.bn.weight                          | [16]                 | 16
model.2.m.0.cv1.bn.bias                            | [16]                 | 16
model.2.m.0.cv1.bn.running_mean                    | [16]                 | 16
model.2.m.0.cv1.bn.running_var                     | [16]                 | 16
model.2.m.0.cv1.bn.num_batches_tracked             | []                   | 1
model.2.m.0.cv2.conv.weight                        | [16, 16, 3, 3]       | 2,304
model.2.m.0.cv2.bn.weight                          | [16]                 | 16
model.2.m.0.cv2.bn.bias                            | [16]                 | 16
model.2.m.0.cv2.bn.running_mean                    | [16]                 | 16
model.2.m.0.cv2.bn.running_var                     | [16]                 | 16
model.2.m.0.cv2.bn.num_batches_tracked             | []                   | 1
model.3.conv.weight                                | [64, 32, 3, 3]       | 18,432
model.3.bn.weight                                  | [64]                 | 64
model.3.bn.bias                                    | [64]                 | 64
model.3.bn.running_mean                            | [64]                 | 64
model.3.bn.running_var                             | [64]                 | 64
model.3.bn.num_batches_tracked                     | []                   | 1
model.4.cv1.conv.weight                            | [64, 64, 1, 1]       | 4,096
model.4.cv1.bn.weight                              | [64]                 | 64
model.4.cv1.bn.bias                                | [64]                 | 64
model.4.cv1.bn.running_mean                        | [64]                 | 64
model.4.cv1.bn.running_var                         | [64]                 | 64
model.4.cv1.bn.num_batches_tracked                 | []                   | 1
