epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.537,1.00667,1.09539,1.31059,0.95627,0.97211,0.98539,0.49432,1.63523,0.90691,1.7625,0.00066242,0.00066242,0.00066242
2,516.292,0.9213,0.63623,1.21672,0.96576,0.97809,0.97957,0.42101,1.93325,0.86289,1.95402,0.00130277,0.00130277,0.00130277
3,773.005,0.8843,0.52968,1.19979,0.96761,0.98207,0.9865,0.5202,1.44522,0.80217,1.41161,0.00191672,0.00191672,0.00191672
4,1015.97,0.88319,0.50695,1.19154,0.96678,0.99402,0.9909,0.52697,1.5062,0.71328,1.46876,0.0018812,0.0018812,0.0018812
5,1258.22,0.84688,0.46445,1.16638,0.94301,0.98884,0.98669,0.57618,1.37293,0.61178,1.34419,0.0018416,0.0018416,0.0018416
6,1501,0.82224,0.43426,1.15177,0.98342,0.99004,0.99324,0.54807,1.49222,0.59277,1.43051,0.001802,0.001802,0.001802
7,1744.55,0.802,0.42392,1.1421,0.98436,0.99402,0.99378,0.5563,1.4046,0.60137,1.34941,0.0017624,0.0017624,0.0017624
8,1988.57,0.77303,0.40702,1.13204,0.97562,0.99402,0.9927,0.68287,1.04945,0.51659,1.15811,0.0017228,0.0017228,0.0017228
9,2232.2,0.78359,0.40508,1.1268,0.9818,0.99402,0.99317,0.60551,1.33148,0.58295,1.31471,0.0016832,0.0016832,0.0016832
10,2476.33,0.7608,0.38703,1.11689,0.98574,0.99402,0.99169,0.55575,1.45649,0.56146,1.42163,0.0016436,0.0016436,0.0016436
11,2720.04,0.76028,0.38436,1.10959,0.97262,0.99203,0.99245,0.60414,1.31095,0.53159,1.28539,0.001604,0.001604,0.001604
12,2964.33,0.74005,0.37832,1.10051,0.98223,0.99126,0.99087,0.60197,1.35327,0.51753,1.32389,0.0015644,0.0015644,0.0015644
13,3208.31,0.73649,0.36847,1.10057,0.98586,0.99203,0.99302,0.58309,1.40314,0.51604,1.37163,0.0015248,0.0015248,0.0015248
14,3453.06,0.74115,0.36889,1.09735,0.98984,0.99602,0.99294,0.68154,1.09564,0.46148,1.16308,0.0014852,0.0014852,0.0014852
15,3697.12,0.7193,0.35954,1.08793,0.99077,0.99402,0.99148,0.64571,1.19228,0.47955,1.22801,0.0014456,0.0014456,0.0014456
16,3941.95,0.71381,0.35333,1.08597,0.99167,0.99203,0.99121,0.62621,1.3065,0.4917,1.25858,0.001406,0.001406,0.001406
17,4185.9,0.70818,0.34897,1.07854,0.99006,0.99164,0.99209,0.66097,1.15578,0.47692,1.1808,0.0013664,0.0013664,0.0013664
18,4430.36,0.70058,0.34471,1.07393,0.98797,0.99602,0.99111,0.70981,1.02711,0.45834,1.11425,0.0013268,0.0013268,0.0013268
19,4674.46,0.69015,0.33816,1.07384,0.9957,0.99602,0.99352,0.63735,1.21454,0.4914,1.25702,0.0012872,0.0012872,0.0012872
20,4919.63,0.69813,0.33874,1.0741,0.9918,0.99402,0.99195,0.6737,1.12579,0.45169,1.17424,0.0012476,0.0012476,0.0012476
21,5163.75,0.68407,0.32968,1.06405,0.99079,0.99004,0.99126,0.60076,1.338,0.49242,1.29059,0.001208,0.001208,0.001208
22,5408.81,0.68208,0.32764,1.06425,0.99326,0.99602,0.99291,0.64686,1.20391,0.47009,1.20279,0.0011684,0.0011684,0.0011684
23,5652.95,0.67406,0.32766,1.05448,0.99154,0.99402,0.99321,0.67774,1.09369,0.45224,1.14961,0.0011288,0.0011288,0.0011288
24,5897.91,0.67799,0.32318,1.06205,0.99259,0.99602,0.99332,0.67276,1.15589,0.45349,1.18604,0.0010892,0.0010892,0.0010892
25,6143.15,0.65697,0.31547,1.04542,0.99354,0.99402,0.99312,0.65007,1.20963,0.46201,1.19894,0.0010496,0.0010496,0.0010496
26,6387.99,0.66502,0.31701,1.0444,0.99327,0.99602,0.99341,0.69345,1.08012,0.43164,1.1415,0.00101,0.00101,0.00101
27,6632.92,0.66137,0.31337,1.04785,0.99384,0.99602,0.99359,0.70081,1.04792,0.41896,1.12439,0.0009704,0.0009704,0.0009704
28,6879.22,0.65872,0.31148,1.04762,0.99178,0.99602,0.99207,0.62058,1.33222,0.47093,1.2779,0.0009308,0.0009308,0.0009308
