epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,6.86059,2.36785,4.57676,0.7217,4.09676,0.04605,19.8469,0.35587,0.48276,0.2902,0.07774,0,0,0,0,2.17097,5.41576,0.66459,2.59591,0.04007,0,0.00024,0.00024,0.00024
2,10.9405,2.03891,3.89751,0.73083,2.07558,0.03344,15.8549,0.32272,0.56897,0.30475,0.07212,0.00514,0.01724,0.00011,1e-05,2.70433,5.68981,0.67982,1.93376,0.05235,0,0.000499505,0.000499505,0.000499505
3,14.8543,1.86172,3.07801,0.71307,1.50785,0.03019,12.0886,0.66704,0.63793,0.59339,0.17581,0.23445,0.22414,0.06775,0.00701,1.96754,4.52364,0.63592,2.73057,0.03371,0,0.000758495,0.000758495,0.000758495
4,18.42,1.69394,2.88715,0.70652,1.1186,0.0271,9.74413,0.93846,0.93103,0.93684,0.28265,0.70354,0.75862,0.67398,0.1154,2.58115,4.15735,0.70024,1.43177,0.04603,0,0.00101697,0.00101697,0.00101697
5,21.899,1.62358,2.53957,0.70924,1.13255,0.02596,9.28174,0.7125,0.86207,0.85987,0.39223,0.45562,0.65517,0.55363,0.0956,1.82112,4.33997,0.59519,1.70518,0.03099,0,0.00127493,0.00127493,0.00127493
6,25.41,1.6036,2.52331,0.68781,1.00347,0.02528,9.18468,0.7645,0.81034,0.91496,0.40923,0.24411,0.37931,0.15136,0.01667,1.7775,4.42004,0.53482,1.41664,0.02698,0,0.00153238,0.00153238,0.00153238
7,28.8478,1.61453,2.34392,0.65195,1.04286,0.02481,8.70922,0.749,0.93103,0.87925,0.31461,0.63494,0.7931,0.75064,0.13229,1.85342,3.85113,0.47975,1.07399,0.03201,0,0.00178931,0.00178931,0.00178931
8,32.3378,1.54124,2.26209,0.60685,0.91078,0.0243,8.32648,0.73039,0.70069,0.62397,0.09228,0.58822,0.56651,0.54267,0.08149,3.35132,4.1533,0.41248,0.91597,0.06902,0,0.00198614,0.00198614,0.00198614
9,35.7649,1.48273,2.37642,0.59233,0.81297,0.02346,7.99281,0.84726,0.76518,0.8917,0.32914,0.82317,0.72414,0.80945,0.13742,1.87795,3.71285,0.30924,1.12254,0.03105,0,0.00198416,0.00198416,0.00198416
10,39.1782,1.57737,2.25289,0.59394,0.96302,0.02429,7.61017,0.75882,0.86801,0.86529,0.27169,0.908,0.8509,0.92596,0.13267,2.05307,3.86243,0.26669,1.28993,0.03902,0,0.00198218,0.00198218,0.00198218
11,42.5799,1.49594,2.12734,0.59015,0.83332,0.02392,7.46686,0.82781,0.8289,0.92694,0.54933,0.77943,0.79206,0.84984,0.17345,1.24398,3.59524,0.21872,0.78534,0.01953,0,0.0019802,0.0019802,0.0019802
12,46.108,1.50533,2.03763,0.56095,0.7904,0.02349,7.12334,0.84665,0.93103,0.95123,0.53851,0.77035,0.86759,0.84048,0.18262,1.49635,3.43823,0.17018,0.5958,0.02556,0,0.00197822,0.00197822,0.00197822
13,49.51,1.49286,2.16537,0.5179,0.8319,0.02226,7.15241,0.94363,0.94828,0.98447,0.61053,0.89197,0.89655,0.91663,0.20579,1.43481,3.2586,0.15549,0.45169,0.02329,0,0.00197624,0.00197624,0.00197624
14,52.8971,1.44874,1.95804,0.56381,0.7983,0.02236,7.04983,0.87611,0.97545,0.98239,0.63986,0.90847,0.8557,0.9353,0.19432,1.16796,3.28858,0.11306,0.45181,0.01759,0,0.00197426,0.00197426,0.00197426
15,56.3419,1.39814,1.98585,0.5294,0.7883,0.02147,6.76243,0.94966,0.97587,0.98837,0.60856,0.89948,0.92575,0.94096,0.20058,1.36546,3.18089,0.10479,0.47638,0.02034,0,0.00197228,0.00197228,0.00197228
16,59.7899,1.46522,1.88526,0.50013,0.87177,0.02275,6.7471,0.80597,0.82759,0.87905,0.4444,0.77379,0.77586,0.76908,0.22155,1.66608,2.92751,0.13296,0.84839,0.02923,0,0.0019703,0.0019703,0.0019703
17,63.1962,1.37908,2.06661,0.49192,0.79423,0.0213,6.74264,0.78987,0.84257,0.88759,0.30902,0.8216,0.87352,0.85753,0.23397,2.163,2.96927,0.14566,1.13153,0.04281,0,0.00196832,0.00196832,0.00196832
18,66.6178,1.42103,1.89492,0.51095,0.75665,0.02172,6.28968,0.72362,0.94828,0.91775,0.38848,0.73396,0.90383,0.88917,0.27457,1.79991,2.85088,0.13744,0.96162,0.03165,0,0.00196634,0.00196634,0.00196634
19,70.0401,1.3634,1.77626,0.55065,0.7489,0.0214,6.50676,0.93024,0.91967,0.98121,0.57586,0.89614,0.89263,0.93072,0.23012,1.49912,3.24395,0.12913,0.56111,0.0237,0,0.00196436,0.00196436,0.00196436
20,73.504,1.40569,1.73559,0.53257,0.74441,0.02047,6.37793,0.96096,0.94828,0.98638,0.63028,0.92531,0.91379,0.9257,0.22452,1.40536,3.16838,0.14875,0.45424,0.02216,0,0.00196238,0.00196238,0.00196238
21,76.8902,1.34279,1.83414,0.49701,0.72345,0.01984,6.51492,0.91387,0.91466,0.97473,0.53582,0.87956,0.88141,0.93715,0.21029,1.61924,3.346,0.14926,0.5819,0.02503,0,0.0019604,0.0019604,0.0019604
22,80.2612,1.22785,1.8881,0.47252,0.67299,0.018,6.45726,0.98298,0.9961,0.99076,0.61863,0.94896,0.96173,0.96427,0.22804,1.3981,3.32227,0.14688,0.402,0.02208,0,0.00195842,0.00195842,0.00195842
23,83.6557,1.24055,1.70728,0.47087,0.70673,0.01916,6.43071,0.97761,0.94828,0.98978,0.36991,0.94206,0.91379,0.96451,0.2343,2.26575,3.24814,0.13937,0.65881,0.0378,0,0.00195644,0.00195644,0.00195644
24,87.1,1.29547,1.85519,0.48098,0.649,0.01971,6.3326,0.96394,0.9218,0.9891,0.46567,0.88595,0.89655,0.8978,0.15137,1.90184,3.5654,0.14109,0.55889,0.03013,0,0.00195446,0.00195446,0.00195446
